handle,displayName,originalTitle,category,shapeKey,basePrice,imageCount,variantCount,collections,sourceAvailability,needsReview,migrationStatus
handmade-by-order-luxury-antique-metal-rusting-orange-teal-grey-combination-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Luxury Antique Metal Rusting Orange Teal Grey Combination Velvet Sizes","handmade by order luxury antique metal rusting orange teal grey combination velvet drum lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-antique-metal-rusting-orange-teal-grey-combination-velvet-rounded-square-lamp-shade-pendant-light-lamp-shade-all,"Luxury Antique Metal Rusting Orange Teal Grey Combination Velvet All","handmade by order luxury antique metal rusting orange teal grey combination velvet ROUNDED SQUARE lamp shade pendant light lamp shade all",LAMPSHADE,square,29.99,8,140,"printed-lampshades|square-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-antique-orange-rusting-abstract-teal-grey-orange-pattern-rounded-rectangular-shape-lamp-shade-pendant-light-lamp-sh,"luxury antique orange rusting abstract teal grey orange pattern ROUNDED","Handmade by order luxury antique orange rusting abstract teal grey orange pattern ROUNDED RECTANGULAR shape lamp shade pendant light lamp sh",LAMPSHADE,rectangular,34.99,4,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-antique-rust-teal-and-gold-grunge-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Antique Rust Teal And Gold Grunge Pattern Drum Velvet","Handmade by order luxury antique rust teal and gold grunge pattern drum velvet lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-and-pink-wave-abstract-pattern-on-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes-available,"Luxury Black And Pink Wave Abstract Pattern On Velvet Shade","Handmade by order luxury black and pink wave abstract pattern on velvet drum lamp shade pendant light shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-and-white-large-leaf-patterned-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Black And White Large Leaf Patterned Drum Velvet","Handmade by order luxury black and white large leaf patterned drum velvet lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-chevron-zigzag-geometric-pattern-on-yellow-gold-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes,"Luxury Black Chevron Zigzag Geometric Pattern On Yellow Gold Velvet","Handmade by order luxury black chevron zigzag geometric pattern on yellow gold velvet drum lamp shade pendant light lamp shade all shapes",LAMPSHADE,drum,24.99,10,240,"our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-large-monstera-leaf-plant-tree-pattern-velvet-rounded-rectangular-shape-table-and-ceiling-lamp-shade,"luxury black gold large monstera leaf plant tree pattern velvet Rounded","Handmade by order luxury black gold large monstera leaf plant tree pattern velvet Rounded RECTANGULAR shape table and ceiling lamp shade",LAMPSHADE,rectangular,34.99,5,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-lava-abstract-marble-geometric-pattern-rectangular-shape-lamp-shade-pendant-shade-all-shapes-sizes-avail,"luxury black gold lava abstract marble geometric pattern RECTANGULAR","Handmade by order luxury black gold lava abstract marble geometric pattern RECTANGULAR shape lamp shade pendant shade all shapes sizes avail",LAMPSHADE,rectangular,34.99,8,80,"our-collections|printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-leaf-plant-tree-pattern-velvet-drum-table-and-ceiling-lamp-shade-all-shapes-and-sizes-available,"Luxury Black Gold Leaf Plant Tree Pattern Velvet Drum Table And Ceiling","Handmade by order luxury black gold leaf plant tree pattern velvet drum table and ceiling lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-leaf-plant-tree-pattern-velvet-rounded-rectangular-shape-table-and-ceiling-lamp-shade-all-shapes-copy,"abstract jade green paint abstract patch pattern ROUNDED RECTANGULAR","Handmade by order abstract jade green paint abstract patch pattern ROUNDED RECTANGULAR velvet lamp shade pendant light lamp shade all sizes and shapes",LAMPSHADE,rectangular,34.99,6,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-stones-lava-abstract-geometric-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Luxury Black Gold Stones Lava Abstract Geometric Pattern Drum Velvet","Handmade by order luxury black gold stones lava abstract geometric pattern drum velvet lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-gold-teal-marble-rasin-geometric-abstract-art-velvet-cushion-cover-all-sizes-available-copy,"Bottle Green Gold Foil Effect Velvet Cushion Covers Sizes","Handmade by order bottle green gold foil effect velvet cushion covers all shapes sizes available",CUSHION,,34.99,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-black-linen-fabric-black-and-gold-lining-lamo-shade-15cm-diameter-x-20cm-h-9-units,"Luxury Black Linen Fabric Black And Gold Lining 15cm Diameter X 20cm H.","Handmade by order luxury black linen fabric black and gold lining lamp shade 15cm diameter x 20cm h. 9 units",LAMPSHADE,,24.99,1,10,"linen-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-blue-gold-marble-wave-abstract-art-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Blue Gold Marble Wave Abstract Art Velvet","Handmade by order luxury blue gold marble wave abstract art velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-blue-gold-marble-wave-velvet-oval-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available-on-demand,"Luxury Blue Gold Marble Wave Velvet","Handmade by order luxury blue gold marble wave velvet OVAL lamp shade pendant light lamp shade all sizes and shapes available on demand",LAMPSHADE,oval,27.99,7,100,"oval-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-blue-laser-beem-geometry-pattern-black-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Blue Laser Beem Geometry Pattern Black Velvet","Handmade by order luxury blue laser beem geometry pattern black velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-bottle-dark-green-velvet-and-leaf-pattern-inside-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avai,"Luxury Bottle Dark Green Velvet And Leaf Pattern Inside Avai","Handmade by order luxury bottle dark green velvet and leaf pattern inside drum lamp shade pendant light lamp shade all shapes and sizes avai",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-brown-beige-wooden-patterned-velvet-geometric-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-available,"Luxury Brown Beige Wooden Patterned Velvet Geometric Pattern","Handmade by order luxury brown beige wooden patterned velvet geometric pattern drum lamp shade pendant light lamp shade all shapes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-cotton-multicoloured-geometric-pattern-cubes-on-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes,"Luxury Cotton Multicoloured Geometric Pattern Cubes On Velvet Shade","Handmade by order luxury cotton multicoloured geometric pattern cubes on velvet drum lamp shade pendant light shade all shapes and sizes",LAMPSHADE,drum,24.99,7,240,"drum-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-cuerden-iliv-tree-branches-engraved-pattern-on-midnight-blue-silk-fabric-oval-lamp-shade-pendant-shade-all-sizes,"Luxury Cuerden Iliv Tree Branches Engraved Pattern On Midnight Blue","Handmade by order luxury cuerden iliv tree branches engraved pattern on midnight blue silk fabric OVAL lamp shade pendant shade all sizes",LAMPSHADE,oval,27.99,6,100,"oval-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-dark-blue-gold-marble-and-gold-wave-abstract-pattern-velvet-cushion-covers-bespoke-sizes-available-copy,"luxury grey retro geometric abstract wooden abstract velvet Cushion","Handmade by order luxury grey retro geometric abstract wooden abstract velvet Cushion covers bespoke sizes available",CUSHION,,34.99,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-deep-blue-and-gold-wave-marble-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avai,"Luxury Deep Blue And Gold Wave Marble Pattern On Velvet Avai","Handmade by order luxury deep blue and gold wave marble pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes avai",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-deep-dark-blue-and-digital-teal-leaf-plant-pattern-double-sided-lamp-shade-pendant-light-shade-all-shapes-and-sizes,"Luxury Deep Dark Blue And Digital Teal Leaf Plant Pattern Double Sided","handmade by order luxury deep dark blue and digital teal leaf plant pattern double sided lamp shade pendant light shade all shapes and sizes",LAMPSHADE,,24.99,11,24,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-emerald-dark-green-marble-abstract-art-velvet-two-three-tiered-lamp-shade-with-metallic-plain-linings,"Luxury Emerald Dark Green Marble Abstract Art Velvet Two Three Tiered","Handmade by order luxury emerald dark green marble abstract art velvet two three tiered lamp shade with metallic plain linings",LAMPSHADE,tiered,95.00,5,40,"printed-lampshades|tired-pendant-lampshade|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-emerald-green-crocodile-skin-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Emerald Green Crocodile Skin Print Velvet","Handmade by order luxury emerald green crocodile skin print velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-exotic-birds-peacock-birds-foral-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Exotic Birds Peacock Birds Foral Pattern","Handmade by order luxury exotic birds peacock birds foral pattern drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,7,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-gold-grange-pattern-in-black-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Gold Grange Pattern In Black Velvet","Handmade by order luxury gold grange pattern in black velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-gold-paint-art-abstract-old-bamboo-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Gold Paint Art Abstract Old Bamboo Print On Velvet","Handmade by order luxury gold paint art abstract old bamboo print on velvet drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-gold-paint-art-abstract-old-bamboo-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-copy,"Luxury Charcoal Grey Anf Gold Foiled Shimmer Abstract Art Design Sizes","Handmade by order luxury charcoal grey anf gold foiled shimmer abstract art design drum lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|foil-lined-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-gold-shimmer-foiled-on-white-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes-available,"Luxury Gold Shimmer Foiled On White Velvet Shade","handmade by order luxury gold shimmer foiled on white velvet drum lamp shade pendant light shade all shapes and sizes available",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|foil-lined-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-graphite-dark-grey-velvet-and-autumn-leaves-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Graphite Dark Grey Velvet And Autumn Leaves Pattern","Handmade by order luxury graphite dark grey velvet and autumn leaves pattern drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-grey-charcoal-leaf-pattern-on-beige-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Grey Charcoal Leaf Pattern On Beige Velvet","Handmade by order luxury grey charcoal leaf pattern on beige velvet lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-jade-green-marble-wave-abstract-art-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Jade Green Marble Wave Abstract Art Velvet","Handmade by order luxury jade green marble wave abstract art velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-jade-teal-blue-and-gold-cube-abstract-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Jade Teal Blue And Gold Cube Abstract Pattern Drum Velvet","Handmade by order luxury jade teal blue and gold cube abstract pattern drum velvet lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-jade-teal-blue-and-gold-cube-abstract-pattern-velvet-cushion-covers-bespoke-sizes-available,"luxury jade teal blue and gold cube abstract pattern velvet Cushion","Handmade by order luxury jade teal blue and gold cube abstract pattern velvet Cushion covers bespoke sizes available",CUSHION,,34.99,1,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
